,economy,time,EN.ATM.CO2E.PC
589,AUS,YR1982,
590,AUS,YR1983,
591,AUS,YR1984,
592,AUS,YR1985,
593,AUS,YR1986,
594,AUS,YR1987,
595,AUS,YR1988,
596,AUS,YR1989,
597,AUS,YR1990,15.4371827741345
598,AUS,YR1991,15.3152712711313
599,AUS,YR1992,15.3539735797446
600,AUS,YR1993,15.4817052728898
601,AUS,YR1994,15.7309147953876
602,AUS,YR1995,16.1146015841703
603,AUS,YR1996,16.4710144168098
604,AUS,YR1997,16.7061760772667
605,AUS,YR1998,17.6023335431403
606,AUS,YR1999,17.7372431090697
607,AUS,YR2000,17.8373183976585
608,AUS,YR2001,17.9307269150375
609,AUS,YR2002,18.1232107784425
610,AUS,YR2003,17.8945391341105
611,AUS,YR2004,18.3688710453093
612,AUS,YR2005,18.2784730852853
613,AUS,YR2006,18.2927495943223
614,AUS,YR2007,18.4547376555999
615,AUS,YR2008,18.2392898668792
616,AUS,YR2009,18.1572008366536
617,AUS,YR2010,17.9737515176961
618,AUS,YR2011,17.6560553381679
619,AUS,YR2012,17.4056176654109
620,AUS,YR2013,16.7945880965987
621,AUS,YR2014,16.1557451398864
622,AUS,YR2015,16.1984582210401
623,AUS,YR2016,16.3203306101751
624,AUS,YR2017,16.1491503049618
625,AUS,YR2018,15.8657135218488
626,AUS,YR2019,15.5990453615115
627,AUS,YR2020,14.7761369066259
628,AUS,YR2021,
629,AUS,YR2022,
630,AUT,YR1960,
631,AUT,YR1961,
632,AUT,YR1962,
633,AUT,YR1963,
634,AUT,YR1964,
635,AUT,YR1965,
636,AUT,YR1966,
637,AUT,YR1967,
638,AUT,YR1968,
639,AUT,YR1969,
640,AUT,YR1970,
641,AUT,YR1971,
642,AUT,YR1972,
643,AUT,YR1973,
644,AUT,YR1974,
645,AUT,YR1975,
646,AUT,YR1976,
647,AUT,YR1977,
648,AUT,YR1978,
649,AUT,YR1979,
650,AUT,YR1980,
651,AUT,YR1981,
652,AUT,YR1982,
653,AUT,YR1983,
654,AUT,YR1984,
655,AUT,YR1985,
656,AUT,YR1986,
657,AUT,YR1987,
658,AUT,YR1988,
659,AUT,YR1989,
660,AUT,YR1990,7.59010660536478
661,AUT,YR1991,8.04952642145454
662,AUT,YR1992,7.35494711001263
663,AUT,YR1993,7.3117484709953
664,AUT,YR1994,7.34467405852584
665,AUT,YR1995,7.69806994672305
666,AUT,YR1996,8.15463768955387
667,AUT,YR1997,8.06021203957158
668,AUT,YR1998,8.10766086454086
669,AUT,YR1999,7.88945743440831
670,AUT,YR2000,7.93085896065763
671,AUT,YR2001,8.44465626905163
672,AUT,YR2002,8.58383681081203
673,AUT,YR2003,9.16931675643542
674,AUT,YR2004,9.27587070234996
675,AUT,YR2005,9.2664055123168
676,AUT,YR2006,8.962101510998
677,AUT,YR2007,8.58876639792215
678,AUT,YR2008,8.50023841866895
679,AUT,YR2009,7.72122810060212
680,AUT,YR2010,8.36562481018494
681,AUT,YR2011,8.13618977833065
682,AUT,YR2012,7.72385166247508
683,AUT,YR2013,7.754017978913
684,AUT,YR2014,7.26093085754911
685,AUT,YR2015,7.3188595368183
686,AUT,YR2016,7.29077721621103
687,AUT,YR2017,7.48703675539348
688,AUT,YR2018,7.14114021108032
