,economy,time,NYGDPMKTPKDZ
679,TGO,2025,5.8000002
680,THA,2021,1.5
681,THA,2022,2.5999999
682,THA,2023,2.5
683,THA,2024,3.2
684,THA,2025,3.0999999
685,TJK,2021,9.3999996
686,TJK,2022,8.0
687,TJK,2023,7.5
688,TJK,2024,5.5
689,TJK,2025,4.5
690,TKM,2021,
691,TKM,2022,
692,TKM,2023,
693,TKM,2024,
694,TKM,2025,
695,TLS,2021,2.9000001
696,TLS,2022,3.9000001
697,TLS,2023,2.4000001
698,TLS,2024,3.5
699,TLS,2025,4.3000002
700,TON,2021,-2.7
701,TON,2022,-2.0
702,TON,2023,2.5999999
703,TON,2024,2.5
704,TON,2025,2.2
705,TTO,2021,
706,TTO,2022,
707,TTO,2023,
708,TTO,2024,
709,TTO,2025,
710,TUN,2021,4.4000001
711,TUN,2022,2.4000001
712,TUN,2023,1.2
713,TUN,2024,3.0
714,TUN,2025,3.0
715,TUR,2021,11.4
716,TUR,2022,5.5
717,TUR,2023,4.1999998
718,TUR,2024,3.0999999
719,TUR,2025,3.9000001
720,TUV,2021,1.8
721,TUV,2022,0.69999999
722,TUV,2023,3.9000001
723,TUV,2024,3.5
724,TUV,2025,2.4000001
725,TZA,2021,4.3000002
726,TZA,2022,4.5999999
727,TZA,2023,5.0999999
728,TZA,2024,5.5
729,TZA,2025,6.0999999
730,UGA,2021,3.4000001
731,UGA,2022,4.6999998
732,UGA,2023,5.3000002
733,UGA,2024,6.0
734,UGA,2025,6.5999999
735,UKR,2021,3.4000001
736,UKR,2022,-29.1
737,UKR,2023,4.8000002
738,UKR,2024,3.2
739,UKR,2025,6.5
740,URY,2021,5.3000002
741,URY,2022,4.9000001
742,URY,2023,1.2
743,URY,2024,3.2
744,URY,2025,2.5999999
745,USA,2021,5.8000002
746,USA,2022,1.9
747,USA,2023,2.5
748,USA,2024,1.6
749,USA,2025,1.7
750,UZB,2021,7.4000001
751,UZB,2022,5.6999998
752,UZB,2023,5.5
753,UZB,2024,5.5
754,UZB,2025,5.5
755,VCT,2021,0.80000001
756,VCT,2022,4.9000001
757,VCT,2023,6.0
758,VCT,2024,4.8000002
759,VCT,2025,3.7
760,VEN,2021,
761,VEN,2022,
762,VEN,2023,
763,VEN,2024,
764,VEN,2025,
765,VNM,2021,2.5999999
766,VNM,2022,8.0
767,VNM,2023,4.6999998
768,VNM,2024,5.5
769,VNM,2025,6.0
770,VUT,2021,0.60000002
771,VUT,2022,1.9
772,VUT,2023,1.5
773,VUT,2024,2.5999999
774,VUT,2025,3.5
775,WLT,2021,6.1999998
776,WLT,2022,3.0
777,WLT,2023,2.5999999
778,WLT,2024,2.4000001
779,WLT,2025,2.7
780,WSM,2021,-7.0999999
781,WSM,2022,-5.3000002
782,WSM,2023,8.0
783,WSM,2024,4.5
784,WSM,2025,3.5999999
785,XKX,2021,10.7
786,XKX,2022,5.1999998
787,XKX,2023,3.2
788,XKX,2024,3.9000001
789,XKX,2025,4.0
790,YEM,2021,-1.0
791,YEM,2022,1.5
