,economy,time,EG.ELC.ACCS.ZS
407,ARG,YR1989,
408,ARG,YR1990,92.1548004150391
409,ARG,YR1991,92.4921875
410,ARG,YR1992,92.8294525146484
411,ARG,YR1993,93.1660461425781
412,ARG,YR1994,93.5012741088867
413,ARG,YR1995,93.8344650268555
414,ARG,YR1996,94.1649398803711
415,ARG,YR1997,94.4920120239258
416,ARG,YR1998,94.8150024414063
417,ARG,YR1999,95.1331558227539
418,ARG,YR2000,95.6804733276367
419,ARG,YR2001,95.5110634674458
420,ARG,YR2002,96.0960006713867
421,ARG,YR2003,96.2979507446289
422,ARG,YR2004,96.50537109375
423,ARG,YR2005,96.7252655029297
424,ARG,YR2006,96.9644088745117
425,ARG,YR2007,97.2243957519531
426,ARG,YR2008,97.5016021728516
427,ARG,YR2009,97.7922058105469
428,ARG,YR2010,98.82
429,ARG,YR2011,99.0342864990234
430,ARG,YR2012,99.143798828125
431,ARG,YR2013,99.285774230957
432,ARG,YR2014,100.0
433,ARG,YR2015,99.6890335083008
434,ARG,YR2016,99.8997421264648
435,ARG,YR2017,100.0
436,ARG,YR2018,99.9937362670898
437,ARG,YR2019,100.0
438,ARG,YR2020,100.0
439,ARG,YR2021,100.0
440,ARG,YR2022,
441,ARM,YR1960,
442,ARM,YR1961,
443,ARM,YR1962,
444,ARM,YR1963,
445,ARM,YR1964,
446,ARM,YR1965,
447,ARM,YR1966,
448,ARM,YR1967,
449,ARM,YR1968,
450,ARM,YR1969,
451,ARM,YR1970,
452,ARM,YR1971,
453,ARM,YR1972,
454,ARM,YR1973,
455,ARM,YR1974,
456,ARM,YR1975,
457,ARM,YR1976,
458,ARM,YR1977,
459,ARM,YR1978,
460,ARM,YR1979,
461,ARM,YR1980,
462,ARM,YR1981,
463,ARM,YR1982,
464,ARM,YR1983,
465,ARM,YR1984,
466,ARM,YR1985,
467,ARM,YR1986,
468,ARM,YR1987,
469,ARM,YR1988,
470,ARM,YR1989,
471,ARM,YR1990,
472,ARM,YR1991,
473,ARM,YR1992,
474,ARM,YR1993,
475,ARM,YR1994,
476,ARM,YR1995,
477,ARM,YR1996,
478,ARM,YR1997,
479,ARM,YR1998,
480,ARM,YR1999,
481,ARM,YR2000,98.9
482,ARM,YR2001,100.0
483,ARM,YR2002,98.0
484,ARM,YR2003,99.1069107055664
485,ARM,YR2004,99.0944366455078
486,ARM,YR2005,99.8
487,ARM,YR2006,99.1136932373047
488,ARM,YR2007,99.1537857055664
489,ARM,YR2008,99.2111129760742
490,ARM,YR2009,99.2818145751953
491,ARM,YR2010,99.8
492,ARM,YR2011,99.4946136474609
493,ARM,YR2012,99.5358657836914
494,ARM,YR2013,99.42
495,ARM,YR2014,99.71
496,ARM,YR2015,100.0
497,ARM,YR2016,99.8
498,ARM,YR2017,99.7
499,ARM,YR2018,99.9
500,ARM,YR2019,100.0
501,ARM,YR2020,100.0
502,ARM,YR2021,100.0
503,ARM,YR2022,
504,ATG,YR1960,
505,ATG,YR1961,
506,ATG,YR1962,
507,ATG,YR1963,
508,ATG,YR1964,
509,ATG,YR1965,
510,ATG,YR1966,
511,ATG,YR1967,
512,ATG,YR1968,
513,ATG,YR1969,
514,ATG,YR1970,
515,ATG,YR1971,
516,ATG,YR1972,
517,ATG,YR1973,
518,ATG,YR1974,
519,ATG,YR1975,
520,ATG,YR1976,
521,ATG,YR1977,
522,ATG,YR1978,
523,ATG,YR1979,
524,ATG,YR1980,
525,ATG,YR1981,
526,ATG,YR1982,
527,ATG,YR1983,
528,ATG,YR1984,
529,ATG,YR1985,
530,ATG,YR1986,
531,ATG,YR1987,
532,ATG,YR1988,
533,ATG,YR1989,
534,ATG,YR1990,95.7630462646484
535,ATG,YR1991,95.9406509399414
536,ATG,YR1992,96.1181335449219
537,ATG,YR1993,96.2949447631836
538,ATG,YR1994,96.4703903198242
539,ATG,YR1995,96.643798828125
540,ATG,YR1996,96.8144836425781
541,ATG,YR1997,96.9817733764648
542,ATG,YR1998,97.1449813842773
543,ATG,YR1999,97.303352355957
544,ATG,YR2000,97.6731262207031
545,ATG,YR2001,97.7458038330078
546,ATG,YR2002,100.0
547,ATG,YR2003,97.8725204467773
548,ATG,YR2004,97.9405746459961
549,ATG,YR2005,92.2
550,ATG,YR2006,100.0
551,ATG,YR2007,100.0
552,ATG,YR2008,100.0
553,ATG,YR2009,98.5305938720703
554,ATG,YR2010,98.6913757324219
555,ATG,YR2011,94.5520140336941
556,ATG,YR2012,100.0
557,ATG,YR2013,100.0
558,ATG,YR2014,100.0
559,ATG,YR2015,100.0
560,ATG,YR2016,100.0
561,ATG,YR2017,100.0
562,ATG,YR2018,100.0
563,ATG,YR2019,100.0
564,ATG,YR2020,100.0
565,ATG,YR2021,100.0
566,ATG,YR2022,
567,AUS,YR1960,
568,AUS,YR1961,
569,AUS,YR1962,
570,AUS,YR1963,
571,AUS,YR1964,
572,AUS,YR1965,
573,AUS,YR1966,
574,AUS,YR1967,
575,AUS,YR1968,
576,AUS,YR1969,
577,AUS,YR1970,
578,AUS,YR1971,
579,AUS,YR1972,
580,AUS,YR1973,
581,AUS,YR1974,
582,AUS,YR1975,
583,AUS,YR1976,
584,AUS,YR1977,
585,AUS,YR1978,
586,AUS,YR1979,
587,AUS,YR1980,
588,AUS,YR1981,
589,AUS,YR1982,
590,AUS,YR1983,
591,AUS,YR1984,
592,AUS,YR1985,
593,AUS,YR1986,
594,AUS,YR1987,
595,AUS,YR1988,
596,AUS,YR1989,
597,AUS,YR1990,100.0
598,AUS,YR1991,100.0
599,AUS,YR1992,100.0
600,AUS,YR1993,100.0
601,AUS,YR1994,100.0
602,AUS,YR1995,100.0
603,AUS,YR1996,100.0
604,AUS,YR1997,100.0
605,AUS,YR1998,100.0
606,AUS,YR1999,100.0
607,AUS,YR2000,100.0
608,AUS,YR2001,100.0
609,AUS,YR2002,100.0
610,AUS,YR2003,100.0
611,AUS,YR2004,100.0
612,AUS,YR2005,100.0
613,AUS,YR2006,100.0
614,AUS,YR2007,100.0
615,AUS,YR2008,100.0
616,AUS,YR2009,100.0
617,AUS,YR2010,100.0
618,AUS,YR2011,100.0
619,AUS,YR2012,100.0
620,AUS,YR2013,100.0
621,AUS,YR2014,100.0
622,AUS,YR2015,100.0
623,AUS,YR2016,100.0
624,AUS,YR2017,100.0
625,AUS,YR2018,100.0
626,AUS,YR2019,100.0
627,AUS,YR2020,100.0
628,AUS,YR2021,100.0
629,AUS,YR2022,
630,AUT,YR1960,
631,AUT,YR1961,
632,AUT,YR1962,
633,AUT,YR1963,
634,AUT,YR1964,
635,AUT,YR1965,
636,AUT,YR1966,
637,AUT,YR1967,
638,AUT,YR1968,
639,AUT,YR1969,
640,AUT,YR1970,
641,AUT,YR1971,
642,AUT,YR1972,
643,AUT,YR1973,
644,AUT,YR1974,
645,AUT,YR1975,
646,AUT,YR1976,
647,AUT,YR1977,
648,AUT,YR1978,
649,AUT,YR1979,
650,AUT,YR1980,
651,AUT,YR1981,
652,AUT,YR1982,
653,AUT,YR1983,
654,AUT,YR1984,
655,AUT,YR1985,
656,AUT,YR1986,
657,AUT,YR1987,
658,AUT,YR1988,
659,AUT,YR1989,
660,AUT,YR1990,100.0
661,AUT,YR1991,100.0
662,AUT,YR1992,100.0
663,AUT,YR1993,100.0
664,AUT,YR1994,100.0
665,AUT,YR1995,100.0
666,AUT,YR1996,100.0
667,AUT,YR1997,100.0
668,AUT,YR1998,100.0
669,AUT,YR1999,100.0
670,AUT,YR2000,100.0
671,AUT,YR2001,100.0
672,AUT,YR2002,100.0
673,AUT,YR2003,100.0
674,AUT,YR2004,100.0
675,AUT,YR2005,100.0
676,AUT,YR2006,100.0
677,AUT,YR2007,100.0
678,AUT,YR2008,100.0
679,AUT,YR2009,100.0
680,AUT,YR2010,100.0
681,AUT,YR2011,100.0
682,AUT,YR2012,100.0
683,AUT,YR2013,100.0
684,AUT,YR2014,100.0
685,AUT,YR2015,100.0
686,AUT,YR2016,100.0
687,AUT,YR2017,100.0
688,AUT,YR2018,100.0
689,AUT,YR2019,100.0
690,AUT,YR2020,100.0
691,AUT,YR2021,100.0
692,AUT,YR2022,
693,AZE,YR1960,
694,AZE,YR1961,
695,AZE,YR1962,
696,AZE,YR1963,
697,AZE,YR1964,
698,AZE,YR1965,
699,AZE,YR1966,
700,AZE,YR1967,
701,AZE,YR1968,
702,AZE,YR1969,
703,AZE,YR1970,
704,AZE,YR1971,
705,AZE,YR1972,
706,AZE,YR1973,
707,AZE,YR1974,
708,AZE,YR1975,
709,AZE,YR1976,
710,AZE,YR1977,
711,AZE,YR1978,
712,AZE,YR1979,
713,AZE,YR1980,
714,AZE,YR1981,
715,AZE,YR1982,
716,AZE,YR1983,
717,AZE,YR1984,
718,AZE,YR1985,
719,AZE,YR1986,
720,AZE,YR1987,
721,AZE,YR1988,
722,AZE,YR1989,
723,AZE,YR1990,
724,AZE,YR1991,
725,AZE,YR1992,
726,AZE,YR1993,
727,AZE,YR1994,
728,AZE,YR1995,
729,AZE,YR1996,
730,AZE,YR1997,
731,AZE,YR1998,
732,AZE,YR1999,97.0
733,AZE,YR2000,98.9082224496759
734,AZE,YR2001,98.5979995727539
735,AZE,YR2002,100.0
736,AZE,YR2003,98.847785949707
737,AZE,YR2004,98.9773788452148
738,AZE,YR2005,99.1194381713867
739,AZE,YR2006,99.5
740,AZE,YR2007,99.4629211425781
741,AZE,YR2008,99.6623001098633
742,AZE,YR2009,99.8750686645508
