,economy,time,CC.EST
621,AUS,YR2014,1.84946465492249
622,AUS,YR2015,1.84135389328003
623,AUS,YR2016,1.77200365066528
624,AUS,YR2017,1.75232112407684
625,AUS,YR2018,1.76737761497498
626,AUS,YR2019,1.78817307949066
627,AUS,YR2020,1.63295590877533
628,AUS,YR2021,1.7076461315155
629,AUS,YR2022,1.76448953151703
630,AUT,YR1960,
631,AUT,YR1961,
632,AUT,YR1962,
633,AUT,YR1963,
634,AUT,YR1964,
635,AUT,YR1965,
636,AUT,YR1966,
637,AUT,YR1967,
638,AUT,YR1968,
639,AUT,YR1969,
640,AUT,YR1970,
641,AUT,YR1971,
642,AUT,YR1972,
643,AUT,YR1973,
644,AUT,YR1974,
645,AUT,YR1975,
646,AUT,YR1976,
647,AUT,YR1977,
648,AUT,YR1978,
649,AUT,YR1979,
650,AUT,YR1980,
651,AUT,YR1981,
652,AUT,YR1982,
653,AUT,YR1983,
654,AUT,YR1984,
655,AUT,YR1985,
656,AUT,YR1986,
657,AUT,YR1987,
658,AUT,YR1988,
659,AUT,YR1989,
660,AUT,YR1990,
661,AUT,YR1991,
662,AUT,YR1992,
663,AUT,YR1993,
664,AUT,YR1994,
665,AUT,YR1995,
666,AUT,YR1996,1.73216354846954
667,AUT,YR1997,
668,AUT,YR1998,1.79937922954559
669,AUT,YR1999,
670,AUT,YR2000,1.7510586977005
671,AUT,YR2001,
672,AUT,YR2002,1.91515922546387
673,AUT,YR2003,1.96386861801147
674,AUT,YR2004,2.02662444114685
675,AUT,YR2005,1.91242349147797
676,AUT,YR2006,1.90487694740295
677,AUT,YR2007,2.00334525108337
678,AUT,YR2008,1.8287581205368
679,AUT,YR2009,1.69403409957886
680,AUT,YR2010,1.59612202644348
681,AUT,YR2011,1.47028934955597
682,AUT,YR2012,1.42725443840027
683,AUT,YR2013,1.53724098205566
684,AUT,YR2014,1.46674907207489
685,AUT,YR2015,1.47238004207611
686,AUT,YR2016,1.49696803092957
687,AUT,YR2017,1.50046288967133
688,AUT,YR2018,1.56836605072021
689,AUT,YR2019,1.521409034729
690,AUT,YR2020,1.47778916358948
691,AUT,YR2021,1.24299263954163
692,AUT,YR2022,1.25861942768097
693,AZE,YR1960,
694,AZE,YR1961,
695,AZE,YR1962,
696,AZE,YR1963,
697,AZE,YR1964,
698,AZE,YR1965,
699,AZE,YR1966,
700,AZE,YR1967,
701,AZE,YR1968,
702,AZE,YR1969,
703,AZE,YR1970,
704,AZE,YR1971,
705,AZE,YR1972,
706,AZE,YR1973,
707,AZE,YR1974,
708,AZE,YR1975,
709,AZE,YR1976,
710,AZE,YR1977,
711,AZE,YR1978,
712,AZE,YR1979,
713,AZE,YR1980,
714,AZE,YR1981,
715,AZE,YR1982,
716,AZE,YR1983,
717,AZE,YR1984,
718,AZE,YR1985,
719,AZE,YR1986,
720,AZE,YR1987,
721,AZE,YR1988,
722,AZE,YR1989,
723,AZE,YR1990,
724,AZE,YR1991,
725,AZE,YR1992,
726,AZE,YR1993,
727,AZE,YR1994,
728,AZE,YR1995,
729,AZE,YR1996,-1.44561946392059
730,AZE,YR1997,
731,AZE,YR1998,-1.28956842422485
732,AZE,YR1999,
733,AZE,YR2000,-1.29238271713257
734,AZE,YR2001,
735,AZE,YR2002,-1.1955019235611
736,AZE,YR2003,-1.04623198509216
737,AZE,YR2004,-1.1808317899704
738,AZE,YR2005,-1.05252146720886
739,AZE,YR2006,-1.09591245651245
740,AZE,YR2007,-1.12907373905182
741,AZE,YR2008,-1.15665423870087
742,AZE,YR2009,-1.19408190250397
743,AZE,YR2010,-1.24537324905396
744,AZE,YR2011,-1.1953147649765
745,AZE,YR2012,-1.14269411563873
746,AZE,YR2013,-0.970375061035156
747,AZE,YR2014,-1.02249026298523
748,AZE,YR2015,-0.952501654624939
749,AZE,YR2016,-0.852654457092285
750,AZE,YR2017,-0.906025290489197
751,AZE,YR2018,-0.852769494056702
752,AZE,YR2019,-0.849424362182617
753,AZE,YR2020,-1.07708406448364
754,AZE,YR2021,-0.847372114658356
755,AZE,YR2022,-1.04057228565216
756,BDI,YR1960,
757,BDI,YR1961,
758,BDI,YR1962,
759,BDI,YR1963,
760,BDI,YR1964,
761,BDI,YR1965,
762,BDI,YR1966,
763,BDI,YR1967,
764,BDI,YR1968,
765,BDI,YR1969,
766,BDI,YR1970,
767,BDI,YR1971,
768,BDI,YR1972,
769,BDI,YR1973,
770,BDI,YR1974,
771,BDI,YR1975,
772,BDI,YR1976,
773,BDI,YR1977,
774,BDI,YR1978,
775,BDI,YR1979,
776,BDI,YR1980,
777,BDI,YR1981,
778,BDI,YR1982,
779,BDI,YR1983,
780,BDI,YR1984,
781,BDI,YR1985,
782,BDI,YR1986,
783,BDI,YR1987,
784,BDI,YR1988,
785,BDI,YR1989,
786,BDI,YR1990,
787,BDI,YR1991,
788,BDI,YR1992,
789,BDI,YR1993,
790,BDI,YR1994,
791,BDI,YR1995,
792,BDI,YR1996,-0.68063485622406
793,BDI,YR1997,
794,BDI,YR1998,-0.681749761104584
795,BDI,YR1999,
796,BDI,YR2000,-0.824704229831696
797,BDI,YR2001,
798,BDI,YR2002,-0.75989693403244
799,BDI,YR2003,-0.874153017997742
800,BDI,YR2004,-0.978404879570007
801,BDI,YR2005,-0.957180440425873
802,BDI,YR2006,-1.10150361061096
803,BDI,YR2007,-1.16698491573334
804,BDI,YR2008,-1.08823239803314
805,BDI,YR2009,-1.13256120681763
806,BDI,YR2010,-1.16890013217926
807,BDI,YR2011,-1.20837116241455
808,BDI,YR2012,-1.46860635280609
809,BDI,YR2013,-1.42611384391785
810,BDI,YR2014,-1.26783466339111
811,BDI,YR2015,-1.28679203987122
812,BDI,YR2016,-1.27832186222076
813,BDI,YR2017,-1.31923758983612
814,BDI,YR2018,-1.47806668281555
815,BDI,YR2019,-1.49680662155151
816,BDI,YR2020,-1.56294918060303
817,BDI,YR2021,-1.59939134120941
818,BDI,YR2022,-1.518141746521
819,BEL,YR1960,
820,BEL,YR1961,
821,BEL,YR1962,
822,BEL,YR1963,
823,BEL,YR1964,
824,BEL,YR1965,
825,BEL,YR1966,
826,BEL,YR1967,
827,BEL,YR1968,
