,economy,time,ID.OWN.BRTH.ZS
830,GAB,YR2020,
831,GAB,YR2021,
832,GBR,YR2006,
833,GBR,YR2007,
834,GBR,YR2008,
835,GBR,YR2009,
836,GBR,YR2010,
837,GBR,YR2011,
838,GBR,YR2012,
839,GBR,YR2013,
840,GBR,YR2014,
841,GBR,YR2015,
842,GBR,YR2016,
843,GBR,YR2017,
844,GBR,YR2018,
845,GBR,YR2019,
846,GBR,YR2020,100.0
847,GBR,YR2021,
848,GEO,YR2006,
849,GEO,YR2007,
850,GEO,YR2008,
851,GEO,YR2009,
852,GEO,YR2010,
853,GEO,YR2011,
854,GEO,YR2012,
855,GEO,YR2013,
856,GEO,YR2014,
857,GEO,YR2015,
858,GEO,YR2016,
859,GEO,YR2017,
860,GEO,YR2018,
861,GEO,YR2019,
862,GEO,YR2020,
863,GEO,YR2021,
864,GHA,YR2006,
865,GHA,YR2007,
866,GHA,YR2008,
867,GHA,YR2009,
868,GHA,YR2010,
869,GHA,YR2011,
870,GHA,YR2012,
871,GHA,YR2013,
872,GHA,YR2014,
873,GHA,YR2015,
874,GHA,YR2016,
875,GHA,YR2017,
876,GHA,YR2018,61.8803822061386
877,GHA,YR2019,
878,GHA,YR2020,
879,GHA,YR2021,
880,GIN,YR2006,
881,GIN,YR2007,
882,GIN,YR2008,
883,GIN,YR2009,
884,GIN,YR2010,
885,GIN,YR2011,
886,GIN,YR2012,
887,GIN,YR2013,
888,GIN,YR2014,
889,GIN,YR2015,
890,GIN,YR2016,
891,GIN,YR2017,
892,GIN,YR2018,50.9
893,GIN,YR2019,
894,GIN,YR2020,
895,GIN,YR2021,
896,GMB,YR2006,
897,GMB,YR2007,
898,GMB,YR2008,
899,GMB,YR2009,
900,GMB,YR2010,
901,GMB,YR2011,
902,GMB,YR2012,
903,GMB,YR2013,
904,GMB,YR2014,
905,GMB,YR2015,
906,GMB,YR2016,
907,GMB,YR2017,
908,GMB,YR2018,
909,GMB,YR2019,
910,GMB,YR2020,47.8
911,GMB,YR2021,
912,GNB,YR2006,
913,GNB,YR2007,
914,GNB,YR2008,
915,GNB,YR2009,
916,GNB,YR2010,
917,GNB,YR2011,
918,GNB,YR2012,
919,GNB,YR2013,
920,GNB,YR2014,
921,GNB,YR2015,
922,GNB,YR2016,
923,GNB,YR2017,
924,GNB,YR2018,
925,GNB,YR2019,36.3
926,GNB,YR2020,
927,GNB,YR2021,
928,GNQ,YR2006,
929,GNQ,YR2007,
930,GNQ,YR2008,
931,GNQ,YR2009,
932,GNQ,YR2010,
933,GNQ,YR2011,50.6
934,GNQ,YR2012,
935,GNQ,YR2013,
936,GNQ,YR2014,
937,GNQ,YR2015,
938,GNQ,YR2016,
939,GNQ,YR2017,
940,GNQ,YR2018,
941,GNQ,YR2019,
942,GNQ,YR2020,
943,GNQ,YR2021,
944,GRC,YR2006,
945,GRC,YR2007,
946,GRC,YR2008,
947,GRC,YR2009,
948,GRC,YR2010,
949,GRC,YR2011,
950,GRC,YR2012,
951,GRC,YR2013,
952,GRC,YR2014,
953,GRC,YR2015,
954,GRC,YR2016,
955,GRC,YR2017,
956,GRC,YR2018,
957,GRC,YR2019,
958,GRC,YR2020,100.0
959,GRC,YR2021,
960,GTM,YR2006,
961,GTM,YR2007,
962,GTM,YR2008,
963,GTM,YR2009,
964,GTM,YR2010,
965,GTM,YR2011,
966,GTM,YR2012,
967,GTM,YR2013,
968,GTM,YR2014,
969,GTM,YR2015,
970,GTM,YR2016,
971,GTM,YR2017,
972,GTM,YR2018,
973,GTM,YR2019,
974,GTM,YR2020,
975,GTM,YR2021,
976,HKG,YR2006,
977,HKG,YR2007,
978,HKG,YR2008,
979,HKG,YR2009,
980,HKG,YR2010,
981,HKG,YR2011,
982,HKG,YR2012,
983,HKG,YR2013,
984,HKG,YR2014,
985,HKG,YR2015,
986,HKG,YR2016,
987,HKG,YR2017,
988,HKG,YR2018,
989,HKG,YR2019,
990,HKG,YR2020,
991,HKG,YR2021,
992,HND,YR2006,
993,HND,YR2007,
994,HND,YR2008,
995,HND,YR2009,
996,HND,YR2010,
997,HND,YR2011,
998,HND,YR2012,
