"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Date
Guyana,71304,17,1281,,69916,8,107,,89798,1613,693878,873852,794045,2022-09-22
Belize,68743,,683,,67962,,98,6,166775,1657,576016,1397453,412190,2022-09-22
Fiji,68234,11,878,,66290,16,1066,,75026,965,662134,728047,909466,2022-09-22
Madagascar,66660,,1410,,65230,,20,2,2285,48,512454,17563,29178077,2022-09-22
Sudan,63285,,4961,,57250,,1074,,1376,108,562941,12240,45992020,2022-09-22
Mauritania,62787,,994,,61781,,12,,12808,203,966931,197253,4901981,2022-09-22
Cabo Verde,62356,,410,,61880,,66,23,109844,722,401622,707482,567678,2022-09-22
Bhutan,61730,,21,,61564,,145,,78343,27,2303734,2923739,787941,2022-09-22
Syria,57261,8,3163,,54019,10,79,,2957,163,146269,7553,19364809,2022-09-22
Burundi,50026,,38,,49457,,531,,3963,3,345742,27386,12624840,2022-09-22
Gabon,48682,,306,,48266,,110,,20880,131,1615785,693014,2331533,2022-09-22
Seychelles,46358,,169,,45977,,212,,466256,1700,,,99426,2022-09-22
Andorra,46147,,155,,45938,,54,14,595730,2001,249838,3225256,77463,2022-09-22
Curaçao,45127,,282,,44720,,125,3,272623,1704,496693,3000640,165529,2022-09-22
Papua New Guinea,44954,,664,,43982,,308,7,4838,71,249149,26813,9292169,2022-09-22
Aruba,42914,,227,,42438,,249,2,398796,2109,177885,1653068,107609,2022-09-22
Mauritius,40401,,1023,,38728,,650,,31694,803,358675,281374,1274727,2022-09-22
Mayotte,40204,,187,,,,,,140446,653,176919,618038,286259,2022-09-22
Tanzania,39341,,845,,,,,7,622,13,,,63298550,2022-09-22
Togo,38864,,284,,38331,,249,,4477,33,790605,91075,8680837,2022-09-22
Isle of Man,38008,,116,,,,,,443335,1353,150753,1758422,85732,2022-09-22
Guinea,37652,,449,,36880,,323,8,2715,32,660107,47607,13865691,2022-09-22
Bahamas,37213,,833,,36040,,340,1,92913,2080,248846,621314,400516,2022-09-22
Faeroe Islands,34658,,28,,,,,5,703959,569,778000,15802409,49233,2022-09-22
Lesotho,34490,,706,,25980,,7804,,15852,324,431221,198199,2175699,2022-09-22
Haiti,33733,12,857,,31307,41,1569,,2888,73,132422,11337,11680283,2022-09-22
Mali,32592,12,740,,31328,49,524,,1518,34,756116,35211,21473764,2022-09-22
Cayman Islands,30545,,31,,8553,,21961,1,454018,461,222773,3311280,67277,2022-09-22
Saint Lucia,28894,,391,,28369,,134,,156088,2112,209716,1132908,185113,2022-09-22
Benin,27638,,163,,27322,,153,5,2162,13,604310,47268,12784726,2022-09-22
Somalia,27207,,1352,,13182,,12673,,1615,80,400466,23778,16841795,2022-09-22
Congo,24837,,386,,24006,,445,,4284,67,347815,59991,5797805,2022-09-22
Timor-Leste,23239,,138,,23067,,34,,16970,101,275776,201380,1369429,2022-09-22
Solomon Islands,21544,,153,,16357,,5034,1,29874,212,5117,7096,721159,2022-09-22
Burkina Faso,21128,,387,,20632,,109,,956,18,248995,11265,22102838,2022-09-22
San Marino,20628,21,118,,20429,13,81,4,605193,3462,157634,4624732,34085,2022-09-22
Gibraltar,20092,23,108,,16579,,3405,,596131,3204,534283,15852213,33704,2022-09-22
Grenada,19516,,236,,19207,,73,4,171985,2080,179808,1584560,113475,2022-09-22
Liechtenstein,19490,,86,,19285,,119,,507724,2240,102174,2661682,38387,2022-09-22
Nicaragua,18491,,225,,4225,,14041,,2728,33,,,6779100,2022-09-22
Bermuda,18122,45,148,,17922,62,52,,292578,2389,1003382,16199519,61939,2022-09-22
South Sudan,17823,,138,,17335,,350,1,1534,12,410280,35313,11618511,2022-09-22
Tajikistan,17786,,125,,17264,,397,,1786,13,,,9957464,2022-09-22
Equatorial Guinea,17006,,183,,16667,4,156,5,11363,122,365697,244342,1496662,2022-09-22
Tonga,16182,,12,,15638,,532,,150182,111,535009,4965327,107749,2022-09-22
Samoa,15925,,29,,1605,,14291,4,78743,143,187397,926612,202239,2022-09-22
Djibouti,15690,,189,,15427,,74,,15441,186,305941,301094,1016097,2022-09-22
Marshall Islands,15224,,17,,15143,,64,22,253493,283,,,60057,2022-09-22
CAR,14904,,113,,14520,,271,2,2971,23,81294,16205,5016678,2022-09-22
Dominica,14852,,68,,14554,,230,,205297,940,210195,2905493,72344,2022-09-22
Monaco,14532,11,63,,14423,19,46,4,365282,1584,78646,1976875,39783,2022-09-22
Gambia,12508,,372,,12028,,108,,4889,145,155686,60851,2558482,2022-09-22
Greenland,11971,,21,,2761,,9189,4,210117,369,164926,2894810,56973,2022-09-22
Saint Martin,11941,,63,,1399,,10479,7,300554,1586,112382,2828643,39730,2022-09-22
Yemen,11934,,2157,,9124,,653,23,383,69,329592,10579,31154867,2022-09-22
Vanuatu,11930,,14,,11892,,24,,37069,44,24976,77606,321832,2022-09-22
Caribbean Netherlands,11200,,36,,10476,,688,,420310,1351,30126,1130559,26647,2022-09-22
Sint Maarten,10859,,87,,10768,,4,10,246986,1979,62056,1411454,43966,2022-09-22
Eritrea,10168,,103,,10058,,7,,2776,28,23693,6470,3662244,2022-09-22
Niger,9931,,312,,8890,,729,1,381,12,254538,9759,26083660,2022-09-22
Micronesia,9759,,29,,157,,9573,1,83063,247,21923,186596,117489,2022-09-22
Antigua and Barbuda,9008,,145,,8830,,33,1,90524,1457,18901,189943,99509,2022-09-22
Guinea-Bissau,8796,,175,,8301,,320,6,4263,85,145231,70385,2063367,2022-09-22
Comoros,8471,,161,,8305,,5,,9335,177,,,907419,2022-09-22
Liberia,7961,,294,,7636,,31,2,1501,55,139824,26356,5305117,2022-09-22
Sierra Leone,7751,,126,,,,,,933,15,259958,31296,8306436,2022-09-22
Chad,7573,,193,,4874,,2506,,435,11,191341,10988,17413580,2022-09-22
British Virgin Islands,7305,,64,,,,,,238757,2092,107339,3508269,30596,2022-09-22
St. Vincent Grenadines,7112,,115,,6641,,356,,63756,1031,100856,904125,111551,2022-09-22
Saint Kitts and Nevis,6541,,46,,6482,,13,,121420,854,124861,2317778,53871,2022-09-22
Cook Islands,6389,,1,,6384,,4,,363610,57,19690,1120596,17571,2022-09-22
Turks and Caicos,6380,,36,,6321,,23,4,160539,906,550093,13841952,39741,2022-09-22
Sao Tome and Principe,6209,,77,,6117,,15,,27271,338,29036,127530,227679,2022-09-22
Palau,5445,,6,,5426,,13,1,298634,329,64681,3547469,18233,2022-09-22
St. Barth,5263,,6,,,,,,529211,603,78646,7908095,9945,2022-09-22
Nauru,4611,,1,,4605,,5,,422911,92,20509,1881042,10903,2022-09-22
Kiribati,3430,,13,,2703,,714,3,27792,105,,,123419,2022-09-22
Saint Pierre Miquelon,3188,,1,,2449,,738,1,553568,174,24902,4324015,5759,2022-09-22
Montserrat,1326,,8,,1188,,130,,267069,1611,16903,3404431,4965,2022-09-22
Wallis and Futuna,761,,7,,438,,316,,69295,637,20508,1867419,10982,2022-09-22
Niue,80,,,,77,,3,,49322,,,,1622,2022-09-22
Saint Helena,57,,,,2,,55,,9321,,,,6115,2022-09-22
China,248984,175,5226,,240700,300,3058,31,173,4,160000000,111163,1439323776,2022-09-23
USA,97880483,33277,1081633,259,94444019,81552,2354831,3176,292146,3228,1115127380,3328345,335039646,2022-09-23
India,44563337,4912,528487,38,43990414,5719,44436,698,31601,375,893048257,633278,1410199394,2022-09-23
France,35087657,37524,154887,33,34424989,15567,507781,869,534915,2361,271490188,4138896,65594837,2022-09-23
Brazil,34666387,6861,685816,91,33795688,6964,184883,8318,160551,3176,63776166,295367,215921729,2022-09-23
Germany,32952050,46964,149458,90,32102100,30600,700492,1406,390520,1771,122332384,1449780,84379978,2022-09-23
S. Korea,24565021,29081,28077,68,23578731,37489,958213,399,478223,547,15804065,307668,51367337,2022-09-23
UK,23621952,,189919,,23319505,3434,112528,146,343945,2765,522526476,7608188,68679488,2022-09-23
Italy,22262452,21083,176824,49,21668862,17003,416766,134,369415,2934,245656409,4076332,60264085,2022-09-23
Japan,20918843,78058,44177,106,20127925,68748,746741,262,166531,352,75816298,603559,125615411,2022-09-23
Russia,20694894,53335,386551,104,19652187,57625,656156,2300,141674,2646,273400000,1871658,146073658,2022-09-23
Turkey,16873793,,101139,,16732078,3205,40576,975,195392,1171,162743369,1884501,86358852,2022-09-23
Spain,13403502,3436,114009,54,13207520,2201,81973,339,286430,2436,471036328,10065941,46795062,2022-09-23
Vietnam,11470164,2545,43146,,10585266,1319,841752,154,115525,435,85826548,864423,99287656,2022-09-23
Australia,10200667,36366,14925,105,10064797,,120945,46,389958,571,78835048,3013759,26158377,2022-09-23
Argentina,9703938,,129855,,9553356,1662,20727,308,210412,2816,35716069,774437,46118734,2022-09-23
Netherlands,8415459,1927,22637,4,8356015,2625,36807,31,488725,1315,21107399,1225805,17219218,2022-09-23
Iran,7546276,421,144367,3,7323206,394,78703,214,87356,1671,54042028,625590,86385751,2022-09-23
Mexico,7080152,4147,330017,68,6347799,3712,402336,4798,53659,2501,18346244,139042,131947552,2022-09-23
Indonesia,6419394,1904,157986,20,6239098,3077,22310,2771,22930,564,108220629,386556,279960718,2022-09-23
Colombia,6306552,,141769,,6133785,,30998,342,121070,2722,36519532,701086,52089915,2022-09-23
Poland,6268049,4438,117431,19,5335950,,814668,3086,166022,3110,37259518,986892,37754415,2022-09-23
Taiwan,6172769,40025,10743,41,5397921,32735,764105,,258138,449,25638221,1072160,23912673,2022-09-23
Portugal,5476059,3102,24991,7,5380756,2946,70312,61,540547,2467,44824531,4424672,10130589,2022-09-23
Ukraine,5096397,,108955,,4954344,2307,33098,177,118110,2525,19521252,452409,43149578,2022-09-23
Austria,5058191,7958,20707,7,4972182,4018,65302,47,554581,2270,196981147,21597048,9120744,2022-09-23
Greece,4875215,,33010,,4800968,5652,41237,115,472870,3202,92282015,8950863,10309846,2022-09-23
Malaysia,4828290,2070,36345,3,4766228,2009,25717,54,145042,1092,64428987,1935445,33288972,2022-09-23
Thailand,4677090,752,32695,9,4636163,794,8232,1496,66635,466,17270775,246059,70189634,2022-09-23
Israel,4655364,,11687,,4634462,,9215,101,499181,1253,41373364,4436346,9326000,2022-09-23
Chile,4599179,4660,61017,43,4525960,2231,12202,137,236081,3132,44897356,2304630,19481373,2022-09-23
Belgium,4525931,,32647,,4443084,4100,50200,48,386771,2790,35517610,3035214,11701848,2022-09-23
Canada,4233468,2477,44992,36,4110481,3269,77995,99,110021,1169,64928884,1687403,38478585,2022-09-23
Peru,4140129,1150,216446,17,3908802,1748,14881,154,121789,6367,35014903,1030027,33994159,2022-09-23
Czechia,4087001,2630,40999,4,4024406,4019,21596,28,380074,3813,56160185,5222659,10753179,2022-09-23
Switzerland,4067621,,14177,,3997650,3383,55794,48,462468,1612,22259921,2530841,8795465,2022-09-23
South Africa,4017163,152,102169,,3909265,,5729,192,65884,1676,26174429,429279,60973000,2022-09-23
Philippines,3932155,2378,62730,35,3839369,275,30056,665,34851,556,32692276,289755,112827323,2022-09-23
Romania,3260555,1227,66968,6,3168565,2049,25022,128,172039,3533,25010168,1319633,18952372,2022-09-23
Denmark,3105588,983,7026,5,3090067,609,8495,,531999,1204,128351467,21987087,5837584,2022-09-23
Sweden,2583370,,20147,,2543510,,19713,18,252297,1968,18940798,1849797,10239393,2022-09-23
Iraq,2459249,,25352,,2433199,,698,21,58232,600,19239264,455564,42231764,2022-09-23
Serbia,2345665,2195,16931,9,2280305,3212,48429,27,270890,1955,10956266,1265288,8659109,2022-09-23
Hungary,2082750,,47457,,2001729,,33564,14,216822,4940,11394556,1186217,9605797,2022-09-23
Bangladesh,2020768,620,29347,1,1962164,345,29257,1331,12004,174,14845365,88186,168340936,2022-09-23
Singapore,1887202,2343,1609,,1808105,3198,77488,7,317031,270,24345019,4089722,5952732,2022-09-23
Slovakia,1840902,383,20443,2,1816299,307,4160,22,336821,3740,7290995,1333997,5465525,2022-09-23
Georgia,1780691,,16900,,1637293,,126498,,448295,4255,16920079,4259692,3972137,2022-09-23
New Zealand,1769694,,2909,,1758138,,8647,,353790,582,7529992,1505366,5002100,2022-09-23
Jordan,1745032,,14116,,1728545,,2371,59,167332,1354,17188470,1648211,10428559,2022-09-23
Hong Kong,1736413,5387,10099,12,1428957,6037,297357,15,227507,1323,54352132,7121299,7632334,2022-09-23
Ireland,1662008,,7885,,1647434,817,6689,12,328425,1558,12693631,2508354,5060543,2022-09-23
Pakistan,1572202,93,30611,2,1536734,564,4857,76,6823,133,30414239,131983,230439984,2022-09-23
Norway,1461884,74,4065,,1456694,100,1125,20,265047,737,11002430,1994793,5515575,2022-09-23
Kazakhstan,1392999,114,13690,,1372996,2465,6313,24,72264,710,11575012,600470,19276582,2022-09-23
Finland,1287044,,5928,,1257879,,23237,21,231488,1066,11478933,2064605,5559868,2022-09-23
Morocco,1264850,10,16278,,1248428,26,144,293,33387,430,12560637,331553,37884274,2022-09-23
Bulgaria,1254682,748,37697,3,1207946,751,9039,28,183644,5518,10531568,1541470,6832161,2022-09-23
Lithuania,1242730,1173,9313,3,1211457,768,21960,10,471108,3530,10161713,3852213,2637890,2022-09-23
Croatia,1227852,655,16867,6,1206149,869,4836,17,303250,4166,5207169,1286045,4048979,2022-09-23
Lebanon,1214561,,10666,,1087587,,116308,74,179736,1578,4795578,709670,6757478,2022-09-23
Slovenia,1168017,1953,6809,,1133228,1624,27980,15,561662,3274,2738469,1316841,2079574,2022-09-23
Tunisia,1145345,,29246,,,,,99,94705,2418,4941390,408587,12093847,2022-09-23
Guatemala,1119277,985,19748,3,1098359,1055,1170,5,60004,1059,5834307,312777,18653270,2022-09-23
Cuba,1111109,13,8530,,1102449,17,130,23,98231,754,14139921,1250077,11311238,2022-09-23
Bolivia,1107689,106,22229,,1048063,641,37397,220,92097,1848,2705422,224938,12027427,2022-09-23
Costa Rica,1072807,,8913,,860711,,203183,52,206403,1715,4659757,896514,5197640,2022-09-23
UAE,1024845,388,2342,,1004169,405,18334,,100907,231,189271991,18635800,10156365,2022-09-23
Ecuador,1002057,,35887,,961904,218,4266,759,54939,1968,3082403,168997,18239373,2022-09-23
Nepal,999506,53,12016,,986119,87,1371,,32983,397,5929117,195659,30303329,2022-09-23
Belarus,994037,,7118,,985592,,1327,,105274,754,13646641,1445250,9442409,2022-09-23
Panama,985814,,8490,,975064,,2260,16,220740,1901,7037466,1575804,4465953,2022-09-23
Uruguay,984152,,7473,,975455,,1224,18,281145,2135,6114822,1746835,3500514,2022-09-23
Mongolia,982551,73,2179,,978263,,2109,192,289343,642,4030048,1186774,3395801,2022-09-23
Latvia,921974,1429,5981,1,891237,,24756,5,501113,3251,7624245,4143947,1839851,2022-09-23
Azerbaijan,820513,214,9902,2,809210,229,1401,,79334,957,7231342,699183,10342559,2022-09-23
Saudi Arabia,815686,77,9340,3,802948,108,3398,34,22645,259,44281884,1229346,36020676,2022-09-23
Paraguay,716059,50,19583,19,696110,758,366,7,97722,2673,2657506,362674,7327537,2022-09-23
Bahrain,677961,294,1520,,673606,254,2835,1,369809,829,10349784,5645519,1833274,2022-09-23
Sri Lanka,670685,17,16753,1,653758,,174,,31032,775,6486117,300102,21613013,2022-09-23
Kuwait,658520,,2563,,655316,,641,3,149285,581,8365279,1896395,4411148,2022-09-23
Dominican Republic,644016,,4384,,638911,,721,4,58072,395,3657057,329761,11090010,2022-09-23
Myanmar,620744,300,19453,1,596506,226,4785,,11241,352,8983776,162686,55221463,2022-09-23
Palestine,620548,,5403,,608749,,6396,17,115657,1007,3078533,573774,5365409,2022-09-23
Estonia,600681,,2667,,524990,,73024,1,452143,2007,3527010,2654843,1328519,2022-09-23
Moldova,586966,,11821,,504142,,71003,49,146262,2946,3216305,801449,4013112,2022-09-23
Cyprus,582381,,1178,,576601,251,4602,60,474670,960,9640118,7857188,1226917,2022-09-23
Venezuela,544405,50,5814,,537707,165,884,36,19266,206,3359014,118875,28256758,2022-09-23
Egypt,515645,,24613,,442182,,48850,122,4836,231,3693367,34637,106630828,2022-09-23
Libya,506954,5,6437,,500487,2,30,101,71611,909,2481605,350546,7079260,2022-09-23
Ethiopia,493498,8,7572,,471867,,14059,1,4068,62,5248291,43266,121303041,2022-09-23
Réunion,471713,,890,,418572,,52251,10,518634,979,1603660,1763174,909530,2022-09-23
Honduras,456106,,10992,,,,,105,44475,1072,1524368,148643,10255247,2022-09-23
Qatar,445749,722,682,,438753,777,6314,4,158754,243,3934917,1401421,2807805,2022-09-23
Armenia,441444,,8679,,428059,,4706,,148356,2917,3205438,1077254,2975564,2022-09-23
Bosnia and Herzegovina,398221,186,16119,3,376654,,5448,,123081,4982,1854260,573108,3235447,2022-09-23
Oman,397993,,4260,,384669,,9064,2,73760,790,25000000,4633271,5395756,2022-09-23
North Macedonia,342519,53,9527,1,332422,103,570,,164421,4573,2127779,1021407,2083184,2022-09-23
Kenya,338382,3,5675,,332612,6,95,1,5999,101,3877141,68734,56407957,2022-09-23
Zambia,333439,,4017,,329239,,183,,17073,206,3724072,190683,19530197,2022-09-23
Albania,331908,47,3588,,326295,176,2025,,115615,1250,1941032,676127,2870808,2022-09-23
Botswana,326127,,2787,,322955,,385,1,132716,1134,2026898,824840,2457323,2022-09-23
Luxembourg,288658,,1123,,283668,,3867,,445016,1731,4402293,6786896,648646,2022-09-23
Montenegro,279134,142,2781,1,275298,159,1055,6,444309,4427,2618359,4167749,628243,2022-09-23
Algeria,270630,5,6879,,182279,6,81472,6,5933,151,230861,5061,45613637,2022-09-23
Nigeria,265090,,3155,,258106,,3829,11,1219,15,5441162,25015,217513655,2022-09-23
Zimbabwe,257318,29,5599,,251219,4,500,12,16769,365,2508254,163463,15344505,2022-09-23
Uzbekistan,244120,15,1637,,241486,,997,23,7066,47,1377915,39883,34548851,2022-09-23
Mozambique,230219,,2221,,227882,,116,11,6933,67,1371127,41293,33204966,2022-09-23
Brunei,226237,,225,,222140,,3872,,506347,504,717784,1606492,446802,2022-09-23
Martinique,220192,,1042,,,,,8,587777,2782,828928,2212729,374618,2022-09-23
Laos,215654,39,758,,,,,,28713,101,1233207,164197,7510550,2022-09-23
Kyrgyzstan,205998,,2991,,196406,,6601,131,30456,442,1907195,281971,6763788,2022-09-23
Iceland,205454,,213,,,,,2,593504,615,1996384,5767046,346171,2022-09-23
El Salvador,201785,,4229,,179410,,18146,8,30764,645,2610114,397942,6559026,2022-09-23
Afghanistan,198163,108,7796,,176934,23,13433,1124,4847,191,1096966,26834,40879999,2022-09-23
Guadeloupe,191997,,986,,,,,19,479662,2463,938039,2343480,400276,2022-09-23
Maldives,185004,,308,,163687,,21009,25,329343,548,2213831,3941052,561736,2022-09-23
Trinidad and Tobago,182597,,4195,,174214,,4188,18,129541,2976,834508,592030,1409571,2022-09-23
Uganda,169396,,3628,,100431,,65337,3,3460,74,3012408,61531,48957288,2022-09-23
Namibia,169253,,4065,,164813,,375,,64030,1538,1062663,402016,2643334,2022-09-23
Ghana,168813,,1459,,167206,,148,2,5192,45,2501608,76933,32516792,2022-09-23
Jamaica,151542,36,3304,3,98643,95,49595,,50684,1105,1181178,395053,2989924,2022-09-23
Cambodia,137827,3,3056,,134691,9,80,,7997,177,3063149,177739,17233969,2022-09-23
Rwanda,132491,2,1466,,130955,,70,,9694,107,5806324,424843,13666982,2022-09-23
Cameroon,121652,,1935,,118616,,1101,13,4342,69,1751774,62526,28016908,2022-09-23
Malta,114534,31,804,,113122,15,608,4,257867,1810,2057784,4632990,444159,2022-09-23
Angola,103131,,1917,,101155,,59,,2935,55,1499795,42677,35142537,2022-09-23
Barbados,102383,17,559,,101491,15,333,,355302,1940,763590,2649900,288158,2022-09-23
French Guiana,93974,,410,,11254,,82310,3,297464,1298,651257,2061481,315917,2022-09-23
DRC,92852,,1442,,83504,,7906,,971,15,846704,8855,95623645,2022-09-23
Channel Islands,90973,,200,,90241,,532,,512729,1127,1252808,7060898,177429,2022-09-23
Senegal,88324,6,1968,,86244,16,112,,4983,111,1146543,64681,17726240,2022-09-23
Malawi,88005,8,2680,,84860,,465,67,4350,132,615710,30435,20230435,2022-09-23
Ivory Coast,87123,29,823,,86234,24,66,,3130,30,1625134,58390,27832429,2022-09-23
Suriname,81099,,1385,,,,,,135542,2315,239128,399660,598329,2022-09-23
French Polynesia,76588,,649,,,,,7,269182,2281,,,284521,2022-09-23
New Caledonia,74139,,314,,73769,,56,9,254244,1077,98964,339376,291606,2022-09-23
Eswatini,73379,,1422,,71950,,7,11,61824,1198,1045030,880472,1186898,2022-09-23
Guyana,71311,7,1281,,69925,9,105,,89700,1611,694087,873069,794997,2022-09-23
Belize,68784,41,683,,68043,81,58,6,166267,1651,576016,1392365,413696,2022-09-23
Fiji,68234,,878,,66290,,1066,,74908,964,662134,726901,910900,2022-09-23
Madagascar,66660,,1410,,65230,,20,2,2277,48,512454,17504,29275823,2022-09-23
Sudan,63285,,4961,,57250,,1074,,1372,108,562941,12204,46128405,2022-09-23
Mauritania,62789,2,994,,61782,1,13,,12757,202,966931,196461,4921744,2022-09-23
Cabo Verde,62358,2,410,,61886,6,62,23,109510,720,401622,705309,569427,2022-09-23
Bhutan,61730,,21,,61564,,145,,78088,27,2303734,2914208,790518,2022-09-23
Syria,57265,4,3163,,54030,11,72,,3104,171,146269,7929,18447078,2022-09-23
Burundi,50026,,38,,49457,,531,,3946,3,345742,27268,12679248,2022-09-23
Gabon,48691,9,306,,48292,26,93,,20785,131,1616256,689927,2342647,2022-09-23
Seychelles,46358,,169,,45977,,212,,464966,1695,,,99702,2022-09-23
Andorra,46147,,155,,45938,,54,14,595138,1999,249838,3222053,77540,2022-09-23
Curaçao,45127,,282,,44720,,125,3,272529,1703,496693,2999607,165586,2022-09-23
Papua New Guinea,44959,5,664,,43982,,313,7,4822,71,249149,26720,9324287,2022-09-23
Aruba,42914,,227,,42438,,249,2,398181,2106,177885,1650522,107775,2022-09-23
Mauritius,40461,60,1024,1,38786,58,651,,31698,802,358675,280991,1276463,2022-09-23
Mayotte,40243,39,187,,,,,,139991,651,176919,615437,287469,2022-09-23
Tanzania,39341,,845,,,,,7,619,13,,,63522206,2022-09-23
Togo,38901,37,284,,38356,25,261,,4466,33,790820,90788,8710662,2022-09-23
Isle of Man,38008,,116,,,,,,441779,1348,150753,1752249,86034,2022-09-23
Guinea,37652,,449,,36880,,323,8,2704,32,660107,47402,13925848,2022-09-23
Bahamas,37258,45,833,,36067,27,358,2,92773,2074,248846,619627,401606,2022-09-23
Faeroe Islands,34658,,28,,,,,5,703344,568,778000,15788619,49276,2022-09-23
Lesotho,34490,,706,,25980,,7804,,15821,324,431221,197804,2180041,2022-09-23
Haiti,33733,,857,,31307,,1569,,2880,73,132422,11307,11711904,2022-09-23
Mali,32595,3,741,1,31410,82,444,,1513,34,756483,35105,21549436,2022-09-23
Cayman Islands,30545,,31,,8553,,21961,1,452921,460,222773,3303277,67440,2022-09-23
Saint Lucia,28894,,391,,28369,,134,,155768,2108,209716,1130581,185494,2022-09-23
Benin,27638,,163,,27322,,153,5,2154,13,604310,47101,12830122,2022-09-23
Somalia,27207,,1352,,13182,,12673,,1612,80,400466,23724,16880391,2022-09-23
Congo,24837,,386,,24006,,445,,4267,66,347815,59757,5820452,2022-09-23
Timor-Leste,23239,,138,,23067,,34,,16909,100,275776,200660,1374343,2022-09-23
Solomon Islands,21544,,153,,16357,,5034,1,29741,211,5117,7064,724383,2022-09-23
Burkina Faso,21128,,387,,20632,,109,,953,17,248995,11226,22179358,2022-09-23
San Marino,20646,18,118,,20430,1,98,4,605632,3461,157634,4624054,34090,2022-09-23
Gibraltar,20092,,108,,16579,,3405,,596751,3208,534283,15868692,33669,2022-09-23
Grenada,19516,,236,,19207,,73,4,171670,2076,179808,1581661,113683,2022-09-23
Liechtenstein,19490,,86,,19285,,119,,507936,2241,102174,2662792,38371,2022-09-23
Nicaragua,18491,,225,,4225,,14041,,2719,33,,,6799971,2022-09-23
Bermuda,18122,,148,,17922,,52,,293398,2396,1003382,16244892,61766,2022-09-23
South Sudan,17823,,138,,17335,,350,1,1552,12,410280,35721,11485811,2022-09-23
Tajikistan,17786,,125,,17264,,397,,1776,12,,,10014527,2022-09-23
Equatorial Guinea,17009,3,183,,16689,22,137,5,11297,122,365697,242889,1505614,2022-09-23
Tonga,16182,,12,,15638,,532,,149334,111,535009,4937284,108361,2022-09-23
Samoa,15925,,29,,1605,,14291,4,79092,144,187397,930712,201348,2022-09-23
Djibouti,15690,,189,,15427,,74,,15383,185,305941,299948,1019979,2022-09-23
Marshall Islands,15224,,17,,15143,,64,22,253400,283,,,60079,2022-09-23
CAR,14904,,113,,14520,,271,2,2971,23,81294,16205,5016686,2022-09-23
Dominica,14852,,68,,14554,,230,,205183,939,210195,2903888,72384,2022-09-23
Monaco,14541,9,63,,14427,4,51,4,364793,1580,78646,1973006,39861,2022-09-23
Gambia,12508,,372,,12028,,108,,4871,145,155686,60630,2567821,2022-09-23
Greenland,11971,,21,,2761,,9189,4,210058,368,164926,2893997,56989,2022-09-23
Saint Martin,11941,,63,,1399,,10479,7,297528,1570,112382,2800169,40134,2022-09-23
Yemen,11934,,2157,,9124,,653,23,381,69,329592,10534,31288274,2022-09-23
Vanuatu,11930,,14,,11892,,24,,36921,43,24976,77296,323123,2022-09-23
Caribbean Netherlands,11200,,36,,10476,,688,,418457,1345,30126,1125574,26765,2022-09-23
Sint Maarten,10859,,87,,10768,,4,10,247026,1979,62056,1411679,43959,2022-09-23
Eritrea,10168,,103,,10058,,7,,2781,28,23693,6481,3655669,2022-09-23
Niger,9931,,312,,8890,,729,1,380,12,254538,9731,26157833,2022-09-23
Micronesia,9759,,29,,157,,9573,1,82910,246,21923,186252,117706,2022-09-23
Antigua and Barbuda,9008,,145,,8830,,33,1,90321,1454,18901,189516,99733,2022-09-23
Guinea-Bissau,8796,,175,,8301,,320,6,4246,84,145231,70108,2071547,2022-09-23
Comoros,8471,,161,,8305,,5,,9300,177,,,910837,2022-09-23
Liberia,7961,,294,,7636,,31,2,1496,55,139824,26271,5322313,2022-09-23
Sierra Leone,7751,,126,,,,,,930,15,259958,31177,8338087,2022-09-23
Chad,7573,,193,,4874,,2506,,433,11,191341,10949,17475233,2022-09-23
British Virgin Islands,7305,,64,,,,,,238111,2086,107339,3498778,30679,2022-09-23
St. Vincent Grenadines,7112,,115,,6641,,356,,63657,1029,100856,902725,111724,2022-09-23
Saint Kitts and Nevis,6541,,46,,6482,,13,,121049,851,124861,2310700,54036,2022-09-23
Cook Islands,6389,,1,,6384,,4,,363011,57,19690,1118750,17600,2022-09-23
Turks and Caicos,6380,,36,,6321,,23,4,159968,903,550093,13792669,39883,2022-09-23
Sao Tome and Principe,6209,,77,,6117,,15,,27206,337,29036,127229,228218,2022-09-23
Palau,5445,,6,,5426,,13,1,297769,328,64681,3537187,18286,2022-09-23
St. Barth,5263,,6,,,,,,529264,603,78646,7908890,9944,2022-09-23
Nauru,4611,,1,,4605,,5,,420098,91,20509,1868531,10976,2022-09-23
Kiribati,3430,,13,,2703,,714,3,27767,105,,,123528,2022-09-23
Saint Pierre Miquelon,3188,,1,,2449,,738,1,556273,174,24902,4345140,5731,2022-09-23
Saint Helena,1355,849,,,2,,1353,,221514,,,,6117,2022-09-23
Montserrat,1326,,8,,1188,,130,,265253,1600,16903,3381276,4999,2022-09-23
Wallis and Futuna,761,,7,,438,,316,,70450,648,20508,1898537,10802,2022-09-23
Niue,80,,,,78,1,2,,48455,,,,1651,2022-09-23
China,249172,188,5226,,240906,206,3040,28,173,4,160000000,111163,1439323776,2022-09-24
USA,97899166,18683,1081708,75,94530000,85981,2287458,3097,292197,3229,1115217424,3328563,335044701,2022-09-24
